rank,config_or_model,model,subject_BA_mean_sd_percent,subject_BA_repeat_t_CI95_percent,subject_macro_F1_mean_sd_percent,subject_macro_F1_repeat_t_CI95_percent,subject_macro_ROC_AUC,ROC_AUC_applicability,scientific_role
121,s1_029,inception_time,55.5 ± 7.0,"[46.8, 64.2]",56.0 ± 7.9,"[46.2, 65.8]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
122,s1_042,inception_time,55.5 ± 2.9,"[51.9, 59.0]",55.6 ± 3.8,"[50.8, 60.3]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
123,s1_053,inception_time,55.5 ± 5.9,"[48.2, 62.7]",55.2 ± 4.7,"[49.4, 61.0]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
124,s1_115,inception_time,55.5 ± 4.1,"[50.3, 60.6]",54.4 ± 3.0,"[50.8, 58.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
125,s1_016,inception_time,55.3 ± 7.1,"[46.5, 64.1]",55.3 ± 8.0,"[45.4, 65.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
126,s1_027,inception_time,55.3 ± 4.7,"[49.5, 61.1]",54.9 ± 4.9,"[48.9, 60.9]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
127,s1_073,inception_time,55.3 ± 6.5,"[47.2, 63.3]",54.8 ± 5.4,"[48.1, 61.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
128,s1_155,inception_time,55.3 ± 3.3,"[51.1, 59.4]",55.3 ± 3.1,"[51.5, 59.1]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
129,s1_009,inception_time,55.2 ± 8.2,"[45.0, 65.4]",55.9 ± 8.4,"[45.5, 66.2]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
130,s1_070,inception_time,55.2 ± 2.6,"[52.0, 58.4]",54.8 ± 3.7,"[50.2, 59.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
131,s1_024,inception_time,55.2 ± 9.4,"[43.5, 66.9]",54.7 ± 11.1,"[40.9, 68.4]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
132,s1_005,inception_time,55.1 ± 6.5,"[47.0, 63.1]",55.7 ± 6.3,"[48.0, 63.5]",N/A,continuous participant-level OOF probabilities not archived,historical_hypothesis_generation_only
